100
200,6123456789,KWH
300,20161113,-50.8,A
300,20161114,23.96,A
300,20161115,32.0,A
300,20161116,-30,A
300,20161117,0,A
300,20161118,0,E
300,20161119,-9,A
300,20161123,-50.8,A
300,20161124,23.96,A
300,20161125,32.0,A
200,6789654321,KWH
300,20161215,-3.8,A
300,20161216,0,A
300,20161217,3.0,E
300,20161218,-12.8,A
300,20161219,23.43,E
300,20161221,4.5,A
200,6321456789,KWH
300,20161113,-50.8,A
300,20161114,23.96,A
300,20161115,32.0,A
300,20161116,-33,A
300,20161117,0,A
300,20161118,0,E
300,20161119,-9,A
200,6555654321,KWH
300,20161215,-3.8,A
300,20161216,0,A
300,20161217,3.0,E
300,20161218,-12.8,A
300,20161219,23.43,E
300,20161221,14.5,A
300,20161123,-60.8,A
300,20161124,23.96,A
300,20161125,32.0,A
200,6777456789,KWH
300,20161113,-110.8,A
300,20161114,23.96,A
300,20161115,32.0,A
300,20161116,-33,A
300,20161117,0,A
300,20161118,0,E
300,20161119,-9,A
200,6000000321,KWH
300,20161215,-3.8,A
300,20161216,0,A
300,20161217,3.0,E
300,20161218,-12.8,A
300,20161219,29.43,E
300,20161221,4.5,A
900
